	Candidatus_Mycoplasma_lavaretus	Candidatus_Mycoplasma_salmoninae_mykiss	Candidatus_Mycoplasma_salmoninae_salar	Mycoplasma_agalactiae	Mycoplasma_alvi_ATCC29626	Mycoplasma_arginini	Mycoplasma_arthritidis_158L3_1	Mycoplasma_bovis_PG45	Mycoplasma_bovoculi	Mycoplasma_canis_PG14	Mycoplasma_capricolum_M1601	Mycoplasma_cloacale	Mycoplasma_collis_ATCC35278	Mycoplasma_columbinum_SF7	Mycoplasma_conjunctivae_HRC581	Mycoplasma_crocodyli	Mycoplasma_cynos_C142	Mycoplasma_dispar_ATCC27140	Mycoplasma_fermentans	Mycoplasma_flocculare	Mycoplasma_gallisepticum	Mycoplasma_genitalium	Mycoplasma_girerdii_VCU_M1	Mycoplasma_glycophilum	Mycoplasma_haemofelis_Langford	Mycoplasma_haemofelis_Ohio2	Mycoplasma_hominis	Mycoplasma_hyopneumoniae	Mycoplasma_hyorhinis	Mycoplasma_iowae	Mycoplasma_leachii	Mycoplasma_lipofaciens_ATCC35015	Mycoplasma_meleagridis_ATCC25294	Mycoplasma_mobile	Mycoplasma_molare_ATCC27746	Mycoplasma_mycoides	Mycoplasma_ovipneumoniae	Mycoplasma_penetrans_HF2	Mycoplasma_phocidae	Mycoplasma_pirum_ATCC_25960	Mycoplasma_pneumoniae	Mycoplasma_pulmonis	Mycoplasma_putrefacians	Mycoplasma_suis	Mycoplasma_synoviae_53	Mycoplasma_wenyonii_Massachusetts	Mycoplasma_yeatsii	Ureaplasma_diversum_NCTC_246	Ureaplasma_urealyticum_ATCC33699
GC_00000011	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	0
GC_00000012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GC_00000013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GC_00000014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GC_00000015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
GC_00000016	1	0	0	2	0	1	1	2	1	3	0	1	2	2	1	2	3	0	2	0	1	1	0	2	0	0	1	0	2	0	0	2	2	1	2	0	0	0	1	0	1	2	0	0	5	0	0	0	0
GC_00000017	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
GC_00000018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
GC_00000019	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GC_00000020	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
GC_00000021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
GC_00000022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
GC_00000023	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
GC_00000024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	2
GC_00000025	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
GC_00000026	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
GC_00000027	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1
GC_00000028	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GC_00000029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0
GC_00000030	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1
GC_00000031	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1
GC_00000032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GC_00000033	0	0	0	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	3	0	0	1	0	0	1	1	1	0	1	0	1	1	2	1	1	0	1	0	0	2	1	0	2	0	1	1	1
GC_00000034	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1
GC_00000035	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1
GC_00000036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
GC_00000037	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1
GC_00000038	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1
GC_00000039	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	2	0	1	0	1	0	0
GC_00000040	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	1
GC_00000041	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0
GC_00000042	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0
GC_00000043	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0
GC_00000044	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0
GC_00000045	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0
GC_00000046	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0
GC_00000047	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0
GC_00000048	1	0	2	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0
GC_00000049	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1
GC_00000050	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0
GC_00000051	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
GC_00000053	1	0	0	1	0	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000054	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0
GC_00000055	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0
GC_00000056	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1
GC_00000057	1	0	0	1	0	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000058	1	0	0	1	0	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000059	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000060	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000061	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000062	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000063	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000064	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000065	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000066	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000067	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000068	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000069	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000070	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000071	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000072	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000073	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000074	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000075	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000076	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000077	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000078	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	2	0	0	1	0	0	0	0
GC_00000079	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000080	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000081	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000082	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000083	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000084	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000085	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000086	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000087	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000088	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000089	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000090	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000091	2	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0
GC_00000092	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000093	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000094	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000095	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000096	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000097	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000098	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000099	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000100	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
GC_00000101	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000102	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	2	1
GC_00000103	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	1	2	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0
GC_00000104	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000105	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000106	1	0	0	1	0	1	0	1	0	2	0	0	1	2	0	2	2	0	1	0	0	0	0	2	0	0	1	0	1	0	0	2	1	0	2	0	0	0	1	0	0	1	0	0	2	0	0	0	0
GC_00000107	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	2	1
GC_00000108	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1
GC_00000109	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000110	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000111	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000112	0	0	0	1	0	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	2	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0
GC_00000113	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000114	0	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000115	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000116	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
GC_00000117	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0
GC_00000118	1	0	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0
